iter	Passed	Remaining
0	144	144403
1	146	72927
2	146	48822
3	147	36742
4	148	29492
5	148	24661
6	149	21227
7	150	18651
8	151	16636
9	151	15037
10	152	13733
11	153	12645
12	154	11761
13	155	10969
14	156	10307
15	158	9730
16	158	9191
17	159	8709
18	160	8274
19	161	7897
20	161	7548
21	162	7229
22	163	6945
23	164	6679
24	165	6437
25	165	6208
26	169	6104
27	172	5974
28	173	5792
29	173	5620
30	174	5457
31	175	5304
32	176	5158
33	176	5020
34	177	4891
35	178	4770
36	178	4656
37	179	4549
38	180	4448
39	181	4360
40	182	4277
41	183	4192
42	184	4107
43	185	4028
44	186	3951
45	186	3878
46	187	3805
47	188	3737
48	189	3671
49	189	3607
50	190	3545
51	191	3485
52	191	3429
53	192	3373
54	193	3320
55	193	3268
56	195	3229
57	196	3197
58	198	3159
59	199	3124
60	200	3080
61	200	3037
62	201	2997
63	202	2960
64	203	2921
65	203	2886
66	204	2850
67	205	2814
68	206	2779
69	206	2745
70	207	2713
71	208	2681
72	209	2657
73	210	2628
74	211	2604
75	211	2576
76	212	2549
77	213	2523
78	214	2498
79	215	2472
80	215	2446
81	216	2421
82	216	2393
83	217	2370
84	217	2346
85	218	2325
86	219	2303
87	220	2281
88	220	2261
89	221	2242
90	222	2221
91	225	2226
92	226	2209
93	227	2194
94	228	2180
95	229	2163
96	230	2146
97	231	2128
98	231	2110
99	232	2093
100	233	2076
101	233	2059
102	234	2043
103	235	2027
104	236	2012
105	236	1997
106	237	1983
107	239	1975
108	240	1965
109	241	1950
110	242	1938
111	243	1928
112	244	1918
113	245	1905
114	245	1892
115	246	1880
116	248	1874
117	249	1866
118	250	1855
119	251	1844
120	253	1840
121	254	1829
122	255	1818
123	256	1809
124	257	1804
125	258	1794
126	259	1783
127	260	1773
128	261	1764
129	262	1753
130	262	1743
131	263	1733
132	264	1722
133	265	1713
134	265	1704
135	267	1696
136	267	1687
137	268	1678
138	270	1673
139	271	1665
140	272	1657
141	272	1647
142	273	1641
143	274	1633
144	275	1624
145	276	1616
146	277	1607
147	277	1599
148	278	1591
149	279	1582
150	280	1574
151	280	1566
152	285	1577
153	287	1578
154	288	1571
155	289	1564
156	290	1557
157	290	1550
158	291	1543
159	292	1536
160	293	1527
161	294	1521
162	295	1515
163	296	1509
164	297	1505
165	299	1504
166	300	1499
167	301	1494
168	302	1488
169	303	1482
170	304	1475
171	305	1469
172	306	1463
173	307	1458
174	309	1461
175	311	1456
176	311	1450
177	313	1445
178	314	1442
179	315	1436
180	316	1430
181	317	1424
182	317	1418
183	318	1413
184	319	1408
185	320	1403
186	321	1396
187	321	1390
188	322	1383
189	323	1377
190	324	1374
191	325	1369
192	326	1364
193	327	1359
194	327	1353
195	328	1348
196	329	1343
197	330	1337
198	330	1331
199	331	1326
200	332	1320
201	332	1315
202	333	1310
203	334	1304
204	335	1299
205	335	1294
206	336	1289
207	337	1283
208	337	1278
209	339	1276
210	340	1272
211	341	1267
212	342	1263
213	343	1263
214	344	1258
215	345	1253
216	346	1248
217	346	1244
218	347	1239
219	348	1235
220	349	1230
221	349	1225
222	350	1220
223	351	1216
224	351	1211
225	352	1206
226	353	1203
227	354	1198
228	355	1195
229	355	1191
230	356	1187
231	357	1182
232	358	1178
233	358	1174
234	359	1169
235	360	1165
236	360	1161
237	361	1157
238	362	1153
239	362	1148
240	363	1144
241	364	1140
242	364	1136
243	365	1132
244	366	1128
245	366	1123
246	367	1121
247	369	1121
248	371	1119
249	373	1119
250	374	1116
251	374	1112
252	375	1108
253	376	1104
254	377	1101
255	378	1099
256	378	1095
257	379	1091
258	380	1087
259	381	1084
260	381	1080
261	382	1077
262	383	1074
263	384	1071
264	385	1068
265	386	1065
266	387	1062
267	387	1059
268	388	1056
269	389	1053
270	390	1049
271	390	1046
272	391	1042
273	392	1039
274	392	1035
275	393	1032
276	394	1029
277	394	1025
278	395	1022
279	396	1019
280	397	1017
281	399	1016
282	400	1014
283	402	1013
284	402	1010
285	403	1008
286	404	1005
287	405	1002
288	406	999
289	407	996
290	407	993
291	408	990
292	409	987
293	409	984
294	410	981
295	411	979
296	412	977
297	413	974
298	414	971
299	415	969
300	416	966
301	416	963
302	417	961
303	418	958
304	419	955
305	419	952
306	420	949
307	421	946
308	422	943
309	422	940
310	423	937
311	424	935
312	424	932
313	427	934
314	428	931
315	431	934
316	432	932
317	433	929
318	434	926
319	434	924
320	435	921
321	436	918
322	436	915
323	437	912
324	438	910
325	439	907
326	439	905
327	441	904
328	442	902
329	443	900
330	444	897
331	444	895
332	445	893
333	446	890
334	447	887
335	447	885
336	448	882
337	449	879
338	449	877
339	450	874
340	451	871
341	451	869
342	452	866
343	452	863
344	453	861
345	454	858
346	454	855
347	457	857
348	458	855
349	460	854
350	461	852
351	461	850
352	462	848
353	463	845
354	464	843
355	464	841
356	465	839
357	466	836
358	467	834
359	468	832
360	468	829
361	470	828
362	471	826
363	472	825
364	473	823
365	474	821
366	475	819
367	475	817
368	476	814
369	477	812
370	477	810
371	478	807
372	479	805
373	479	803
374	480	800
375	481	798
376	481	796
377	482	794
378	483	792
379	484	789
380	485	788
381	486	786
382	487	784
383	488	783
384	489	781
385	489	779
386	490	777
387	491	775
388	492	772
389	492	770
390	493	768
391	493	766
392	494	763
393	495	761
394	495	759
395	496	757
396	497	755
397	497	753
398	499	751
399	499	749
400	501	748
401	502	747
402	502	745
403	503	743
404	505	741
405	506	740
406	506	738
407	507	736
408	508	735
409	509	733
410	510	731
411	510	729
412	511	727
413	512	725
414	514	724
415	515	723
416	517	723
417	518	721
418	519	719
419	519	717
420	520	716
421	521	714
422	523	713
423	524	712
424	527	714
425	529	713
426	530	712
427	531	710
428	532	708
429	533	707
430	534	705
431	535	703
432	536	702
433	536	700
434	537	698
435	538	696
436	539	694
437	539	692
438	540	691
439	543	691
440	545	691
441	546	689
442	547	687
443	547	685
444	548	684
445	549	682
446	549	680
447	550	678
448	551	676
449	552	675
450	553	673
451	554	671
452	554	670
453	555	668
454	556	666
455	557	665
456	558	663
457	559	662
458	560	660
459	560	658
460	561	656
461	562	654
462	562	652
463	563	651
464	564	649
465	564	647
466	566	646
467	566	644
468	567	642
469	568	640
470	568	638
471	569	637
472	570	635
473	571	634
474	572	632
475	573	631
476	574	630
477	575	628
478	576	626
479	576	625
480	577	623
481	578	621
482	579	620
483	580	618
484	580	616
485	581	615
486	582	613
487	582	611
488	583	609
489	584	607
490	585	606
491	586	605
492	587	603
493	587	602
494	588	600
495	589	598
496	590	597
497	590	595
498	591	594
499	592	592
500	593	590
501	593	588
502	594	587
503	594	585
504	595	583
505	596	582
506	596	580
507	597	578
508	597	576
509	598	575
510	599	573
511	600	572
512	601	571
513	602	569
514	603	568
515	604	567
516	605	565
517	606	564
518	607	562
519	607	560
520	608	559
521	609	557
522	609	556
523	610	554
524	611	553
525	612	551
526	612	550
527	613	548
528	614	547
529	615	545
530	616	544
531	617	542
532	617	541
533	618	539
534	619	538
535	619	536
536	620	535
537	621	533
538	622	532
539	622	530
540	623	529
541	624	527
542	625	526
543	625	524
544	626	522
545	627	521
546	627	519
547	628	518
548	629	517
549	630	515
550	631	514
551	632	513
552	633	511
553	634	510
554	635	509
555	636	508
556	637	506
557	638	505
558	639	504
559	639	502
560	640	501
561	641	499
562	641	498
563	642	496
564	643	495
565	644	494
566	645	492
567	646	491
568	647	490
569	648	489
570	649	487
571	649	486
572	650	484
573	651	483
574	651	481
575	652	480
576	652	478
577	653	477
578	654	475
579	654	474
580	655	472
581	656	471
582	657	470
583	658	469
584	662	469
585	665	470
586	667	469
587	668	468
588	670	467
589	671	466
590	676	467
591	678	467
592	678	465
593	679	464
594	680	463
595	681	461
596	681	460
597	682	458
